# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- accounting policy, 2026-08-21.
ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib
20:46:11,7044,728,48,0,0,3057,2961
20:46:12,6951,822,48,0,0,3065,3011
20:46:13,7121,651,47,0,0,3001,3091
20:46:14,7099,674,43,0,0,3039,3023
20:46:16,7016,756,47,0,0,3073,3057
20:46:17,7002,770,54,0,0,2985,2965
20:46:18,6962,810,46,0,0,2955,2965
20:46:19,7003,770,46,0,0,2953,2937
20:46:20,7042,730,48,0,0,3073,3037
20:46:21,7026,746,46,0,0,3021,3085
20:46:22,7030,742,53,0,0,3043,3061
20:46:23,7091,681,73,0,0,3065,2989
20:46:24,7047,726,72,0,0,3033,3051
20:46:25,7040,732,74,0,0,2991,2969
20:46:26,7053,719,75,0,0,2947,2981
20:46:27,6994,779,70,0,0,3087,2981
20:46:28,6992,781,73,0,0,2955,2997
20:46:29,7041,731,74,0,0,3051,3041
20:46:30,7000,773,75,0,0,2979,2967
20:46:31,7083,690,73,0,0,3013,3057
20:46:32,7049,724,75,0,0,2967,3095
20:46:33,7011,762,71,0,0,3035,2951
20:46:35,7076,696,74,0,0,3073,3023
20:46:36,7030,742,74,0,0,2929,2887
20:46:37,7045,727,75,0,0,2951,3081
20:46:38,6841,932,68,0,0,3033,2975
20:46:39,7040,732,48,0,0,3021,2973
20:46:40,7072,700,48,0,0,3017,3017
20:46:41,6967,805,48,0,0,2945,3005
20:46:42,7003,770,48,0,0,3021,3053
20:46:43,7034,739,50,0,0,3019,3033
20:46:44,7143,629,73,0,0,2979,2977
20:46:45,7028,744,75,0,0,3041,3013
20:46:46,7002,770,73,0,0,2949,3079
20:46:47,7065,707,73,0,0,3063,2963
20:46:48,6972,800,74,0,0,2917,2903
20:46:49,6984,788,70,0,0,3037,3031
20:46:50,7036,736,71,0,0,2945,3007
20:46:52,6995,778,66,0,0,2973,3039
20:46:53,7039,734,74,0,0,3053,3029
20:46:54,6976,796,48,0,0,3077,2937
20:46:55,6988,784,46,0,0,3033,2893
20:46:56,7134,638,48,0,0,3083,3051
20:46:57,6939,833,46,0,0,2985,2959
20:46:58,7091,682,45,0,0,3033,3059
20:46:59,6975,798,63,0,0,3021,2981
20:47:00,7010,762,76,0,0,3033,3081
20:47:01,6996,777,76,0,0,2937,2947
20:47:02,6959,814,67,0,0,2947,2929
20:47:03,7025,748,77,0,0,2995,3029
20:47:04,7086,686,75,0,0,2969,2993
20:47:05,7019,754,74,0,0,2951,2977
20:47:06,7024,748,72,0,0,3083,3027
20:47:07,7057,715,71,0,0,2985,2939
20:47:08,7069,704,75,0,0,2991,2945
20:47:10,6996,776,75,0,0,2977,3083
20:47:11,7050,722,76,0,0,3027,2989
20:47:12,6903,870,65,0,0,2907,2993
20:47:13,7051,721,44,0,0,3015,2973
20:47:14,7087,686,42,0,0,3071,3089
20:47:15,7052,720,46,0,0,3019,2929
20:47:16,7024,748,45,0,0,3045,2979
20:47:17,6990,783,47,0,0,2983,3055
20:47:18,7008,765,71,0,0,2993,3009
20:47:19,7022,750,75,0,0,2983,2911
20:47:20,6998,774,76,0,0,3043,2963
20:47:21,7070,702,70,0,0,2945,3005
20:47:22,6951,821,74,0,0,2993,3053
20:47:23,7085,687,72,0,0,3021,3081
20:47:24,7052,721,77,0,0,2995,3093
20:47:25,6859,913,71,0,0,2923,2911
20:47:26,6916,856,76,0,0,2997,2941
20:47:28,7055,718,68,0,0,3089,2975
20:47:29,7002,770,44,0,0,3039,2949
20:47:30,6912,861,45,0,0,2923,3077
20:47:31,6996,776,48,0,0,3021,2975
20:47:32,6930,842,47,0,0,2899,3027
20:47:33,7054,718,44,0,0,2955,3033
20:47:34,6993,779,72,0,0,3007,3005
